trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,introduction.started,text.started,key_resp.started,introduction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,letter_grid.started,letter_grid.stopped,row_cue.started,trial.stopped,response_routine.started,response.started,response_routine.stopped,response.keys,response.rt,response.duration,Cued Row,Correct Row,Participant Response,Is Correct,row_cue.stopped,response.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
28,0,28,0,209.53624260006472,,,,,,,,,209.52012409991585,209.53624260006472,210.0347303999588,210.52141569997184,211.50457550003193,211.50458780000918,211.5208988999948,216.5139560000971,['e'],[0.5626094001345336],[0.08548610005527735],2,ECKV,['e'],False,211.5208988999948,216.5290771999862,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
29,0,29,0,216.5290771999862,,,,,,,,,216.51561579992995,216.5290771999862,217.04382829996757,217.526190900011,218.51517540006898,218.51520209992304,218.52812019991688,223.51923860004172,None,,,0,JZPJ,None,False,218.52812019991688,223.53552150004543,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
30,0,30,0,223.53552150004543,,,,,,,,,223.51994180004112,223.53552150004543,224.0527663999237,224.53540960000828,225.52233770000748,225.52236180007458,225.53706609993242,230.52653350005858,['d'],[1.2119722000788897],[0.0951910000294447],1,DTCP,['d'],False,225.53706609993242,,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
31,0,31,0,230.54079680005088,,,,,,,,,230.5281356999185,230.54079680005088,231.0413498999551,231.52969880006276,232.51345760002732,232.51350430003367,232.52843679999933,237.51731520006433,['u'],[0.9709326000884175],[0.10881610005162656],1,UORU,['u'],False,232.52843679999933,237.53436799999326,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
32,0,32,0,237.53436799999326,,,,,,,,,237.5191502000671,237.53436799999326,238.0505858999677,238.53440060000867,239.5183409000747,239.5183608001098,239.53689499991015,244.52558850008063,['q'],[1.2212777000386268],[0.14543939987197518],1,QMNR,['q'],False,239.53689499991015,,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
33,0,33,0,244.54115179996006,,,,,,,,,244.52770380000584,244.54115179996006,245.0420917000156,245.52465320006013,246.51166720013134,246.51168290013447,246.52687850012444,251.51738870004192,['x'],[0.707819800125435],[0.13192189997062087],2,BLUC,['x'],False,246.52687850012444,251.5338818000164,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
34,0,34,0,251.5338818000164,,,,,,,,,251.51934530003928,251.5338818000164,252.049344799947,252.53589970013127,253.5345697000157,253.5346153001301,253.54959900001995,258.5223316999618,"['b', 'd']","[0.2612699999008328, 0.6061378000304103]","[0.09308440005406737, 0.07649339991621673]",2,BDKV,"['b', 'd']",False,,,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
35,0,35,0,258.5405401000753,,,,,,,,,258.5244430000894,258.5405401000753,259.0395226001274,259.5225613999646,260.510488800006,260.51051530009136,260.52691589994356,265.5152660999447,['a'],[0.8653053999878466],[0.12130500003695488],0,DSNS,['a'],False,260.52691589994356,265.5306230999995,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
36,0,36,0,265.5306230999995,,,,,,,,,265.5165440000128,265.5306230999995,266.0334694001358,266.5312290999573,267.5177392999176,267.5178032000549,267.53358460008167,272.5240204001311,['z'],[0.44704950018785894],[0.1289933999069035],1,ZXRT,['z'],False,267.53358460008167,,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
37,0,37,0,272.53967930004,,,,,,,,,272.5255301001016,272.53967930004,273.0392114999704,273.5217655999586,274.5095683999825,274.5096029001288,274.5250528000761,279.51630220003426,['q'],[0.7048416999168694],[0.0989934999961406],1,GQCJ,['q'],False,274.5250528000761,279.5288535000291,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
38,0,38,0,279.5288535000291,,,,,,,,,279.5178888000082,279.5288535000291,280.03111460013315,280.53011770010926,281.516440999927,281.51647219993174,281.5333138999995,286.5233551999554,['a'],[0.7378112999722362],[0.0959697999060154],0,BKAA,['a'],False,281.5333138999995,,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
39,0,39,0,286.5365953000728,,,,,,,,,286.52509250002913,286.5365953000728,287.04126360011287,287.5219314000569,288.50754070002586,288.50757070002146,288.523747399915,293.514740700135,"['u', 'o']","[0.9359891000203788, 1.4287606000434607]","[0.11880160006694496, 0.1053808000870049]",1,OFUC,"['u', 'o']",False,288.523747399915,293.5301473001018,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
40,0,40,0,293.5301473001018,,,,,,,,,293.5170360999182,293.5301473001018,294.02920230012387,294.52878760010935,295.514337599976,295.51436670008115,295.53136630007066,300.5211294000037,"['o', 'y']","[0.8082983000203967, 1.341200599912554]","[0.09680789988487959, 0.08848070004023612]",2,OYDF,"['o', 'y']",False,295.53136630007066,,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
41,0,41,0,300.54150400008075,,,,,,,,,300.52282240008935,300.54150400008075,301.0554521000013,301.53741759993136,302.52238540002145,302.5224182000384,302.53874509991147,307.5260000000708,"['n', 'm']","[0.3367693000473082, 0.5761558001395315]","[0.1090392000041902, 0.08045369992032647]",2,NWAP,"['n', 'm']",False,,,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
42,0,42,0,307.5450862001162,,,,,,,,,307.5270903001074,307.5450862001162,308.04808049998246,308.5285376000684,309.5135868000798,309.513613200048,309.5309947999194,314.52026219991967,"['f', 'j']","[1.3236038000322878, 1.7998277000151575]","[0.07926629995927215, 0.069355099927634]",1,FJLU,"['f', 'j']",False,309.5309947999194,314.5341485000681,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
43,0,43,0,314.5341485000681,,,,,,,,,314.52197759994306,314.5341485000681,315.0350440000184,315.53600890003145,316.5206484000664,316.52066490007564,316.5370839999523,321.5246109000873,['m'],[0.37511719996109605],[0.06288020010106266],2,NNGH,['m'],False,316.5370839999523,,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
44,0,44,0,321.54425649996847,,,,,,,,,321.52585650002584,321.54425649996847,322.05979510000907,322.52674899995327,323.51066739996895,323.510691100033,323.5289455000311,328.51755400002,"['e', 'z']","[0.7177037000656128, 1.1459594001062214]","[0.09937399998307228, 0.07213249988853931]",1,EZVC,"['e', 'z']",False,323.5289455000311,328.5334334000945,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
45,0,45,0,328.5334334000945,,,,,,,,,328.5199464999605,328.5334334000945,329.0348127000034,329.5350778000429,330.52205469994806,330.5220834999345,330.53488730010577,335.52452629990876,['v'],[1.173347600037232],[0.08574429992586374],0,SMML,['v'],False,,,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
46,0,46,0,335.541728500044,,,,,,,,,335.5264087000396,335.541728500044,336.04423850006424,336.5264022999909,337.51205400004983,337.51207719999366,337.52710609999485,342.5153868000489,['s'],[2.406292599858716],[0.08005380001850426],2,WSWY,['s'],False,337.52710609999485,342.53196480008774,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
47,0,47,0,342.53196480008774,,,,,,,,,342.5168804000132,342.53196480008774,343.03139550006017,343.5337281001266,344.5183770000003,344.5184043000918,344.5342174000107,349.52306189993396,"['p', 'p']","[0.4637788999825716, 0.7511309999972582]","[0.06881830003112555, 0.07615839992649853]",2,PPKS,"['p', 'p']",False,344.5342174000107,,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
48,0,48,0,349.5403146999888,,,,,,,,,349.52420350001194,349.5403146999888,350.05638370011,350.5250530000776,351.52901370008476,351.5290377000347,351.5412302999757,356.5310023999773,['h'],[0.7455112999305129],[0.061075600096955895],1,HNKX,['h'],False,,,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
49,0,49,0,356.5486828999128,,,,,,,,,356.53212310001254,356.5486828999128,357.06354210013524,357.5328987000976,358.5182797999587,358.51830040011555,358.5347677001264,363.5226893001236,['c'],[0.9836864001117647],[0.055618599988520145],2,PKII,['c'],False,358.5347677001264,,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
50,0,50,0,363.53834570012987,,,,,,,,,363.5238813001197,363.53834570012987,364.0419109000359,364.52347330003977,365.5088994000107,365.50891759991646,365.5239101999905,370.5131534000393,['v'],[0.6943427000660449],[0.06399449985474348],2,VSKK,['v'],False,365.5239101999905,370.52982040005736,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
51,0,51,0,370.52982040005736,,,,,,,,,370.5145509999711,370.52982040005736,371.0286689000204,371.532249199925,372.5185183000285,372.5185529999435,372.5309450000059,377.5214710000437,['i'],[0.5998190001118928],[0.06909330002963543],1,IYHS,['i'],False,372.5309450000059,,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
