trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,introduction.started,text.started,key_resp.started,introduction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,letter_grid.started,letter_grid.stopped,row_cue.started,row_cue.stopped,trial.stopped,response_routine.started,response.started,response.stopped,response_routine.stopped,response.keys,response.rt,response.duration,Cued Row,Correct Row,Participant Response,Is Correct,participant,session,date,expName,psychopyVersion,frameRate,expStart,
23,0,23,0,94.4695099000819,,,,,,,,,94.4540748000145,94.4695099000819,94.97014709981158,95.45383579982445,96.4558816999197,96.439332799986,96.43934739986435,96.4558816999197,98.45740990014747,98.44145780010149,"['t', 'e']","[0.7078595003113151, 0.936096700374037]","[0.07608589995652437, 0.07922539999708533]",2,TEOZ,"['t', 'e']",False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
24,0,24,0,98.45740990014747,,,,,,,,,98.44257090007886,98.45740990014747,98.95825049979612,99.45891360007226,100.45970440004021,100.44446300016716,100.44448120007291,100.45970440004021,102.46174599975348,102.44624060019851,['u'],[0.29025480011478066],[0.06580850016325712],2,AVZQ,['u'],False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
25,0,25,0,102.46174599975348,,,,,,,,,102.44719030009583,102.46174599975348,102.96242740005255,103.46306159999222,104.46410219976678,104.448092199862,104.44810710009187,104.46410219976678,106.4664916000329,106.44991960003972,"['o', 'g']","[0.4180828002281487, 0.8293224000371993]","[0.07519329991191626, 0.07922059996053576]",2,OCDS,"['o', 'g']",False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
26,0,26,0,106.4664916000329,,,,,,,,,106.45169490016997,106.4664916000329,106.96673680003732,107.46728370012715,108.46851859986782,108.45257740002126,108.45259279990569,108.46851859986782,,110.4542001998052,"['m', 'r']","[0.33254910027608275, 0.7544440999627113]","[0.07540229987353086, 0.08240200020372868]",0,WMRP,"['m', 'r']",False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
27,0,27,0,110.47046109987423,,,,,,,,,110.45533639984205,110.47046109987423,110.97116040019318,111.4550616000779,112.45631860010326,112.44034660002217,112.44036090001464,112.45631860010326,114.45812489977106,114.44242289988324,"['z', 'l']","[0.3723496999591589, 0.8266670000739396]","[0.09625570010393858, 0.07265659980475903]",0,ZILW,"['z', 'l']",False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
28,0,28,0,114.45812489977106,,,,,,,,,114.44352679979056,114.45812489977106,114.95882460009307,115.45953350001946,116.46063720015809,116.44485699990764,116.44487319979817,116.46063720015809,118.46268410002813,118.44661629991606,"['u', 'v']","[0.42465730011463165, 1.1373789999634027]","[0.07428339961916208, 0.0926689999178052]",0,UWUJ,"['u', 'v']",False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
29,0,29,0,118.46268410002813,,,,,,,,,118.44743120018393,118.46268410002813,118.96359300008044,119.46374240005389,120.4649406997487,120.44928319985047,120.44930309988558,120.4649406997487,122.46716659981757,122.45117100002244,"['u', 'x']","[0.6956549999304116, 1.7866082000546157]","[0.08397209970280528, 0.07617769995704293]",1,UKEA,"['u', 'x']",False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
30,0,30,0,122.46716659981757,,,,,,,,,122.45276239980012,122.46716659981757,122.9677535998635,123.45162450009957,124.45290130004287,124.43697489984334,124.43699409998953,124.45290130004287,126.45496489992365,126.4388346998021,['i'],[0.6818773001432419],[0.07229409972205758],2,OIGG,['i'],False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
31,0,31,0,126.45496489992365,,,,,,,,,126.4401046000421,126.45496489992365,126.95559180015698,127.45622240006924,128.45686500007287,128.4413711000234,128.44138609990478,128.45686500007287,130.45948259998113,130.44331699982285,['e'],[1.054018100257963],[0.06528319977223873],0,LDFQ,['e'],False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
32,0,32,0,130.45948259998113,,,,,,,,,130.44412219990045,130.45948259998113,130.95996209979057,131.46055650012568,132.461696700193,132.44572860002518,132.44575159996748,132.461696700193,134.46442470001057,134.4478444000706,"['j', 'e']","[0.3222179999575019, 0.5701192999258637]","[0.08558509964495897, 0.0932445996440947]",2,WFLH,"['j', 'e']",False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
