trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,introduction.started,text.started,key_resp.started,introduction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,letter_grid.started,trial.stopped,response_routine.started,response.started,response_routine.stopped,response.keys,response.rt,response.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
50,0,50,0,314.6510705999099,,,,,,,,,314.63586319983006,314.6510705999099,315.1347011998296,315.1347395000048,315.1507242999505,320.1225076999981,"['r', 'n', 'j']","[1.9494285001419485, 2.5292206001468003, 3.825617300113663]","[0.07924839993938804, 0.09942250000312924, 0.10789099987596273]",538039,001,2024-11-18_09h38.49.105,WholeReportMethod,2024.1.5,None,2024-11-18 09h38.57.645272 +0530,
51,0,51,0,320.14072679984383,,,,,,,,,320.1271168999374,320.14072679984383,320.62298829993233,320.62302439985797,320.6395819999743,325.62821169989184,"['e', 'e', 'y', 'a']","[1.319553499808535, 1.5250390998553485, 2.149023399921134, 2.3619721999857575]","[0.0854154999833554, 0.07827850012108684, 0.08870520000346005, 0.11565839988179505]",538039,001,2024-11-18_09h38.49.105,WholeReportMethod,2024.1.5,None,2024-11-18 09h38.57.645272 +0530,
52,0,52,0,325.64686169987544,,,,,,,,,325.6314324999694,325.64686169987544,326.12948169978335,326.12954099988565,326.14567080000415,331.134521599859,"['i', 's', 'd', 'c']","[1.9485263000242412, 2.4022494999226183, 2.774209199938923, 3.296685899840668]","[0.11265159980393946, 0.11398150003515184, 0.10298949992284179, 0.09741730010136962]",538039,001,2024-11-18_09h38.49.105,WholeReportMethod,2024.1.5,None,2024-11-18 09h38.57.645272 +0530,
53,0,53,0,331.15200749994256,,,,,,,,,331.13721119984984,331.15200749994256,331.6354080999736,331.63545059994794,331.6523707997985,336.62385859992355,"['g', 'n', 'p', 'o']","[1.5620200000703335, 1.9793549000751227, 2.4848325999919325, 2.7091054001357406]","[0.09983520000241697, 0.08863590005785227, 0.10543680004775524, 0.09788149991072714]",538039,001,2024-11-18_09h38.49.105,WholeReportMethod,2024.1.5,None,2024-11-18 09h38.57.645272 +0530,
54,0,54,0,336.6415812999476,,,,,,,,,336.6266550999135,336.6415812999476,337.12457359978,337.1246161998715,337.1410194998607,342.1296527998056,"['j', 'n', 'v', 'k']","[1.321645300136879, 1.864790900144726, 2.5091539002023637, 3.0678084001410753]","[0.1028831999283284, 0.11605859990231693, 0.10957709979265928, 0.10566770005971193]",538039,001,2024-11-18_09h38.49.105,WholeReportMethod,2024.1.5,None,2024-11-18 09h38.57.645272 +0530,
55,0,55,0,342.1466550999321,,,,,,,,,342.1319197998382,342.1466550999321,342.63070599990897,342.63073759991676,342.647609599866,347.63630249979906,"['q', 'h', 'q', 't']","[2.309592900099233, 2.967612000182271, 3.3039139001630247, 4.08845500019379]","[0.16417709994129837, 0.10982589982450008, 0.16513590002432466, 0.09884159988723695]",538039,001,2024-11-18_09h38.49.105,WholeReportMethod,2024.1.5,None,2024-11-18 09h38.57.645272 +0530,
56,0,56,0,347.65469619981013,,,,,,,,,347.63900489988737,347.65469619981013,348.13687379984185,348.1369105000049,348.1544210999273,353.12521819979884,"['l', 'm', 'c', 'a']","[1.806683200178668, 2.142988600069657, 2.9173477001022547, 3.0774831001181155]","[0.1082500999327749, 0.11470780009403825, 0.11541790002956986, 0.10963799990713596]",538039,001,2024-11-18_09h38.49.105,WholeReportMethod,2024.1.5,None,2024-11-18 09h38.57.645272 +0530,
57,0,57,0,353.14117259997874,,,,,,,,,353.1264704999048,353.14117259997874,353.6284991998691,353.6285341999028,353.6419444999192,358.6316286998335,"['v', 'o', 'l']","[1.288355699973181, 2.084022300085053, 4.31636429997161]","[0.10827580001205206, 0.12210280005820096, 0.1147419000044465]",538039,001,2024-11-18_09h38.49.105,WholeReportMethod,2024.1.5,None,2024-11-18 09h38.57.645272 +0530,
58,0,58,0,358.6505418999586,,,,,,,,,358.63410619995557,358.6505418999586,359.1320323999971,359.1320934998803,359.1488547998015,364.13754939986393,"['h', 'm', 'i']","[1.753479499835521, 2.1807633999269456, 2.5918357998598367]","[0.10613900003954768, 0.1118632999714464, 0.10179680003784597]",538039,001,2024-11-18_09h38.49.105,WholeReportMethod,2024.1.5,None,2024-11-18 09h38.57.645272 +0530,
59,0,59,0,364.1549642998725,,,,,,,,,364.14031349984,364.1549642998725,364.6383214998059,364.6383633997757,364.6550866998732,369.6267965999432,"['d', 'l', 'y']","[1.5141120001208037, 2.6337929000146687, 3.773459499934688]","[0.11690729996189475, 0.12182529992423952, 0.12076740013435483]",538039,001,2024-11-18_09h38.49.105,WholeReportMethod,2024.1.5,None,2024-11-18 09h38.57.645272 +0530,
