trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,introduction.started,text.started,key_resp.started,introduction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,letter_grid.started,trial.stopped,response_routine.started,response.started,response_routine.stopped,response.keys,response.rt,response.duration,letter_grid.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
22,0,22,0,124.06493599992245,,,,,,,,,124.0506370998919,124.06493599992245,124.54815869987942,124.54819520004094,124.5638961000368,129.55352180008776,"['b', 'k', 'e', 'n', 'l']","[1.3382274999748915, 1.62552720005624, 1.9566699001006782, 2.2583993000444025, 2.863623399985954]","[0.16544550005346537, 0.16566969989798963, 0.2348006998654455, 0.15484929992817342, 0.2114540000911802]",,076667,001,2024-11-17_13h51.34.282,WholeReportMethod,2024.1.5,None,2024-11-17 13h51.40.356009 +0530,
23,0,23,0,129.57074470003136,,,,,,,,,129.5561732999049,129.57074470003136,130.05366119998507,130.05368639994413,130.07048320001923,135.04339740006253,"['o', 'f', 's', 'q']","[0.7598526999354362, 1.2030395998153836, 1.6513828998431563, 2.0946297999471426]","[0.1614150998648256, 0.20773410005494952, 0.20877730008214712, 0.2759463998954743]",,076667,001,2024-11-17_13h51.34.282,WholeReportMethod,2024.1.5,None,2024-11-17 13h51.40.356009 +0530,
24,0,24,0,135.0598544999957,,,,,,,,,135.04735319991596,135.0598544999957,135.54347810009494,135.54354820004664,135.5599873000756,140.54920360003598,"['f', 'q', 'x', 'n']","[1.0707832998596132, 2.4058007998391986, 2.8767509998288006, 3.6485078998375684]","[0.1477055000141263, 0.21794830006547272, 0.23022430017590523, 0.18096190015785396]",,076667,001,2024-11-17_13h51.34.282,WholeReportMethod,2024.1.5,None,2024-11-17 13h51.40.356009 +0530,
25,0,25,0,140.566431599902,,,,,,,,,140.5518759000115,140.566431599902,141.04996059997939,141.04999039997347,141.06542210001498,146.03926220000722,"['g', 'f', 'h', 's']","[1.4205863999668509, 2.206594299990684, 2.4824385999236256, 2.6608054998796433]","[0.1938662000466138, 0.2037742999382317, 0.143814800074324, 0.17536800005473197]",,076667,001,2024-11-17_13h51.34.282,WholeReportMethod,2024.1.5,None,2024-11-17 13h51.40.356009 +0530,
26,0,26,0,146.05495540006086,,,,,,,,,146.0415823000949,146.05495540006086,146.5397721999325,146.5398047999479,146.5549270999618,151.5440607999917,"['f', 'r', 'k', 't', 'o']","[1.6100796998944134, 2.6451049998868257, 3.0174179999157786, 3.275696499971673, 4.270916699897498]","[0.2503136000595987, 0.21508270013146102, 0.19062869995832443, 0.17438109987415373, 0.18420860008336604]",146.5549270999618,076667,001,2024-11-17_13h51.34.282,WholeReportMethod,2024.1.5,None,2024-11-17 13h51.40.356009 +0530,
27,0,27,0,151.56318049994297,,,,,,,,,151.54832249996252,151.56318049994297,152.04598219995387,152.0460115999449,152.06084790010937,157.04981289990246,"['k', 'a', 'a', 'x']","[0.8288477999158204, 1.1363452998921275, 1.5850313999690115, 2.3142117001116276]","[0.14106450020335615, 0.3331619000528008, 0.29385580006055534, 0.13713149982504547]",,076667,001,2024-11-17_13h51.34.282,WholeReportMethod,2024.1.5,None,2024-11-17 13h51.40.356009 +0530,
28,0,28,0,157.06600020010956,,,,,,,,,157.05298190005124,157.06600020010956,157.55117570003495,157.5512216000352,157.56747159990482,162.53987139998935,"['r', 'g', 'p', 'c']","[1.3206931001041085, 1.7020817000884563, 1.9981289999559522, 2.3982337000779808]","[0.20091879996471107, 0.17200420005246997, 0.19748029997572303, 0.1993735998403281]",,076667,001,2024-11-17_13h51.34.282,WholeReportMethod,2024.1.5,None,2024-11-17 13h51.40.356009 +0530,
29,0,29,0,162.55901760002598,,,,,,,,,162.5431800999213,162.55901760002598,163.04106680001132,163.0411080000922,163.0568448000122,168.04651340004057,"['l', 'q', 'v', 'k', 'l']","[0.884749700082466, 1.5826954999938607, 2.090129200136289, 2.5364572000689805, 2.6160449001472443]","[0.1949978000484407, 0.22711249999701977, 0.14535670005716383, 0.14307560003362596, 0.11576109984889627]",,076667,001,2024-11-17_13h51.34.282,WholeReportMethod,2024.1.5,None,2024-11-17 13h51.40.356009 +0530,
30,0,30,0,168.06385540007614,,,,,,,,,168.04845150001347,168.06385540007614,168.5461488000583,168.54620420001447,168.56245149997994,173.5517092999071,"['f', 'o', 'l', 'e']","[0.8624001999851316, 1.1026306999847293, 1.393354499945417, 1.7132073999382555]","[0.2178942000027746, 0.20927549991756678, 0.2334618999157101, 0.19724819995462894]",,076667,001,2024-11-17_13h51.34.282,WholeReportMethod,2024.1.5,None,2024-11-17 13h51.40.356009 +0530,
31,0,31,0,173.57114879996516,,,,,,,,,173.5552016000729,173.57114879996516,174.05223980010487,174.05226829997264,174.06870079995133,179.04321689996868,"['t', 'j', 'p', 'r', 'c']","[1.1257893999572843, 1.2562545000109822, 1.3832890999037772, 1.6086752999108285, 2.0359851999673992]","[0.22745119989849627, 0.1302473999094218, 0.14898120006546378, 0.20238220016472042, 0.20880499994382262]",,076667,001,2024-11-17_13h51.34.282,WholeReportMethod,2024.1.5,None,2024-11-17 13h51.40.356009 +0530,
